编号,时间,用户,资源类型,资源IP,资源账号,登录协议,操作命令列表
399,2024-02-23 03:49:13,user_3,Database,192.168.1.77,user_1,Telnet,exit
400,2024-04-11 02:42:33,user_3,Switch,192.168.1.34,user_6,HTTP,"exit, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
401,2024-07-02 21:34:13,user_8,Router,192.168.3.137,user_6,SSH,"rm -rf /tmp/*, sudo apt update"
402,2024-01-19 09:40:50,user_4,Database,192.168.2.67,user_5,Telnet,"systemctl restart apache2, cat /etc/passwd, rm -rf /tmp/*, sudo apt update, scp file.txt user@192.168.1.100:/home/"
403,2024-05-01 06:45:55,user_7,Server,192.168.1.192,user_3,SSH,"systemctl restart apache2, sudo apt update, scp file.txt user@192.168.1.100:/home/"
404,2024-09-18 23:02:06,user_5,Router,192.168.3.188,user_10,SSH,rm -rf /tmp/*
405,2024-08-07 20:13:02,user_4,Database,192.168.3.90,user_10,RDP,sudo apt update
406,2024-04-15 20:28:36,user_1,Server,192.168.2.109,user_6,RDP,"sudo apt update, systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
407,2024-06-15 02:00:14,user_6,Database,192.168.3.87,user_7,RDP,"rm -rf /tmp/*, cat /etc/passwd, exit, ls -la"
408,2024-03-29 16:56:23,user_1,Switch,192.168.3.17,user_8,RDP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
409,2024-08-25 08:09:56,user_8,Switch,192.168.2.11,user_3,HTTP,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
410,2024-04-10 00:04:00,user_5,Server,192.168.3.78,user_1,SSH,systemctl restart apache2
411,2024-09-18 02:20:28,user_9,Router,192.168.1.216,user_2,Telnet,"rm -rf /tmp/*, sudo apt update, systemctl restart apache2"
412,2024-06-04 10:08:52,user_7,Switch,192.168.4.232,user_8,RDP,"systemctl restart apache2, ls -la, exit, sudo apt update"
413,2024-07-20 01:57:05,user_9,Switch,192.168.2.102,user_10,SSH,"exit, ls -la, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
414,2024-04-09 00:31:43,user_2,Switch,192.168.1.53,user_7,HTTP,"cat /etc/passwd, systemctl restart apache2"
415,2024-07-01 08:13:14,user_3,Database,192.168.4.73,user_3,SSH,"sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/"
416,2024-08-26 19:54:01,user_2,Router,192.168.2.72,user_3,Telnet,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, exit, ls -la"
417,2024-04-14 00:05:11,user_5,Router,192.168.2.129,user_3,Telnet,"rm -rf /tmp/*, systemctl restart apache2, ls -la, sudo apt update"
418,2024-01-15 06:40:21,user_4,Router,192.168.3.215,user_1,HTTP,"exit, rm -rf /tmp/*, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
419,2024-03-28 00:47:14,user_8,Server,192.168.2.211,user_2,HTTP,"cat /etc/passwd, exit, sudo apt update, scp file.txt user@192.168.1.100:/home/, ls -la"
420,2024-06-20 14:22:15,user_6,Switch,192.168.4.35,user_3,Telnet,"scp file.txt user@192.168.1.100:/home/, ls -la"
421,2024-06-18 11:23:28,user_8,Database,192.168.3.98,user_6,Telnet,rm -rf /tmp/*
422,2024-02-09 05:49:44,user_10,Router,192.168.4.185,user_5,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
423,2024-03-23 11:23:28,user_6,Database,192.168.2.119,user_7,Telnet,rm -rf /tmp/*
424,2024-05-19 04:27:50,user_5,Switch,192.168.4.56,user_6,SSH,"exit, ls -la"
425,2024-10-01 00:40:59,user_5,Switch,192.168.1.192,user_9,Telnet,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, ls -la"
426,2024-04-17 10:06:36,user_10,Switch,192.168.1.208,user_5,SSH,ls -la
427,2024-03-18 02:39:03,user_6,Server,192.168.3.5,user_5,Telnet,"exit, rm -rf /tmp/*, ls -la"
428,2024-11-07 22:27:45,user_10,Switch,192.168.1.13,user_3,SSH,"rm -rf /tmp/*, systemctl restart apache2, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, exit"
429,2024-11-06 04:52:52,user_1,Database,192.168.1.164,user_1,Telnet,"sudo apt update, rm -rf /tmp/*, exit, cat /etc/passwd"
430,2024-03-02 11:35:07,user_4,Switch,192.168.3.179,user_6,SSH,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, sudo apt update"
431,2024-06-14 03:23:04,user_2,Server,192.168.3.98,user_9,Telnet,"sudo apt update, scp file.txt user@192.168.1.100:/home/"
432,2024-03-05 20:36:39,user_4,Database,192.168.1.52,user_1,Telnet,"ls -la, systemctl restart apache2, sudo apt update, exit"
433,2024-03-02 20:00:31,user_5,Router,192.168.1.245,user_3,RDP,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, sudo apt update"
434,2024-06-03 14:46:22,user_8,Switch,192.168.1.240,user_5,Telnet,"sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
435,2024-05-27 07:14:48,user_2,Router,192.168.3.74,user_3,HTTP,"exit, sudo apt update, cat /etc/passwd, ls -la"
436,2024-09-27 11:52:27,user_8,Switch,192.168.1.171,user_5,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, exit, ls -la, rm -rf /tmp/*"
437,2024-09-19 02:10:16,user_10,Switch,192.168.1.248,user_6,Telnet,"systemctl restart apache2, sudo apt update, ls -la, rm -rf /tmp/*"
438,2024-03-16 09:26:00,user_5,Switch,192.168.2.111,user_5,RDP,"systemctl restart apache2, sudo apt update, scp file.txt user@192.168.1.100:/home/"
439,2024-07-02 19:40:48,user_1,Server,192.168.1.40,user_8,RDP,"scp file.txt user@192.168.1.100:/home/, sudo apt update, cat /etc/passwd, ls -la"
440,2024-10-04 11:59:23,user_4,Database,192.168.3.100,user_8,SSH,"exit, systemctl restart apache2, ls -la"
441,2024-02-07 12:12:02,user_7,Database,192.168.3.118,user_3,RDP,"ls -la, exit, cat /etc/passwd"
442,2024-03-28 09:55:40,user_3,Router,192.168.1.227,user_4,RDP,"sudo apt update, rm -rf /tmp/*, systemctl restart apache2, ls -la"
443,2024-11-02 07:22:54,user_3,Database,192.168.3.118,user_10,SSH,"cat /etc/passwd, rm -rf /tmp/*, sudo apt update, ls -la"
444,2024-01-25 07:02:01,user_6,Router,192.168.2.18,user_7,Telnet,"sudo apt update, systemctl restart apache2, ls -la"
445,2024-06-05 16:25:18,user_8,Server,192.168.1.33,user_2,HTTP,"ls -la, sudo apt update, exit"
446,2024-01-04 00:16:35,user_10,Server,192.168.4.162,user_2,HTTP,"rm -rf /tmp/*, sudo apt update, systemctl restart apache2"
447,2024-08-31 18:12:59,user_10,Server,192.168.1.108,user_9,Telnet,"cat /etc/passwd, rm -rf /tmp/*, exit, sudo apt update"
448,2024-01-04 02:49:55,user_5,Database,192.168.4.46,user_10,RDP,"ls -la, rm -rf /tmp/*, exit, systemctl restart apache2"
449,2024-01-20 05:14:43,user_1,Server,192.168.3.219,user_3,SSH,"systemctl restart apache2, sudo apt update, exit"
450,2024-06-19 10:36:26,user_4,Database,192.168.2.209,user_3,Telnet,"rm -rf /tmp/*, exit, systemctl restart apache2, cat /etc/passwd"
451,2024-10-04 16:30:53,user_10,Database,192.168.3.168,user_9,SSH,"sudo apt update, scp file.txt user@192.168.1.100:/home/"
452,2024-04-23 07:22:23,user_3,Database,192.168.2.16,user_9,HTTP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, cat /etc/passwd, exit, sudo apt update"
453,2024-07-03 13:42:32,user_7,Database,192.168.1.72,user_2,SSH,cat /etc/passwd
454,2024-06-28 05:21:06,user_6,Server,192.168.2.104,user_7,Telnet,"ls -la, scp file.txt user@192.168.1.100:/home/"
455,2024-05-16 21:09:27,user_4,Switch,192.168.1.148,user_6,SSH,"sudo apt update, exit, ls -la, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
456,2024-10-10 14:32:23,user_10,Server,192.168.1.112,user_5,HTTP,"sudo apt update, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la"
457,2024-08-25 02:32:46,user_5,Switch,192.168.4.47,user_9,HTTP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
458,2024-03-06 14:24:49,user_2,Server,192.168.3.253,user_9,Telnet,sudo apt update
459,2024-01-10 16:43:59,user_4,Switch,192.168.3.230,user_7,HTTP,exit
460,2024-03-03 08:15:27,user_4,Switch,192.168.4.101,user_6,SSH,"scp file.txt user@192.168.1.100:/home/, sudo apt update, ls -la, cat /etc/passwd, exit"
461,2024-11-20 15:53:56,user_6,Switch,192.168.1.190,user_2,Telnet,"exit, sudo apt update"
462,2024-02-17 06:27:50,user_9,Switch,192.168.4.236,user_10,HTTP,"cat /etc/passwd, rm -rf /tmp/*, ls -la, sudo apt update, scp file.txt user@192.168.1.100:/home/"
463,2024-02-29 04:31:34,user_3,Switch,192.168.2.14,user_4,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update"
464,2024-01-23 06:13:03,user_2,Server,192.168.3.36,user_4,SSH,"systemctl restart apache2, cat /etc/passwd"
465,2024-01-02 16:24:47,user_9,Switch,192.168.4.6,user_1,RDP,ls -la
466,2024-03-25 13:20:14,user_2,Router,192.168.3.99,user_1,SSH,"cat /etc/passwd, sudo apt update, exit, rm -rf /tmp/*"
467,2024-02-12 05:18:54,user_7,Server,192.168.1.236,user_10,HTTP,"systemctl restart apache2, ls -la, exit, rm -rf /tmp/*, cat /etc/passwd"
468,2024-10-15 02:12:43,user_2,Switch,192.168.2.150,user_5,RDP,"systemctl restart apache2, rm -rf /tmp/*, cat /etc/passwd"
469,2024-06-11 18:30:39,user_5,Database,192.168.1.53,user_8,HTTP,"sudo apt update, scp file.txt user@192.168.1.100:/home/"
470,2024-06-20 20:48:01,user_8,Switch,192.168.4.37,user_1,SSH,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
471,2024-08-01 22:54:43,user_7,Database,192.168.2.203,user_9,RDP,"cat /etc/passwd, ls -la, exit, rm -rf /tmp/*"
472,2024-03-28 01:48:07,user_8,Switch,192.168.2.243,user_6,RDP,"exit, sudo apt update"
473,2024-09-10 00:21:39,user_1,Router,192.168.3.213,user_6,RDP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la, sudo apt update, rm -rf /tmp/*"
474,2024-04-11 05:06:11,user_4,Router,192.168.4.57,user_1,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, ls -la, exit, sudo apt update"
475,2024-10-28 17:39:59,user_2,Database,192.168.2.172,user_5,HTTP,"ls -la, scp file.txt user@192.168.1.100:/home/"
476,2024-06-11 22:32:01,user_3,Server,192.168.2.191,user_10,SSH,"sudo apt update, ls -la, exit"
477,2024-04-03 10:14:30,user_9,Router,192.168.2.6,user_10,RDP,"exit, rm -rf /tmp/*, sudo apt update"
478,2024-09-11 08:29:57,user_7,Switch,192.168.1.68,user_7,RDP,"systemctl restart apache2, cat /etc/passwd"
479,2024-10-04 18:28:55,user_3,Router,192.168.2.207,user_1,SSH,"cat /etc/passwd, systemctl restart apache2, sudo apt update, exit"
480,2024-02-14 10:48:06,user_2,Server,192.168.2.80,user_9,HTTP,exit
481,2024-02-19 01:15:36,user_7,Router,192.168.1.83,user_2,RDP,"exit, sudo apt update, rm -rf /tmp/*"
482,2024-02-18 23:27:28,user_9,Database,192.168.3.190,user_2,SSH,"ls -la, rm -rf /tmp/*, sudo apt update"
483,2024-01-06 10:47:21,user_2,Switch,192.168.3.112,user_3,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2, ls -la, exit"
484,2024-10-26 13:29:14,user_10,Server,192.168.1.64,user_7,HTTP,sudo apt update
485,2024-10-17 17:26:50,user_2,Switch,192.168.3.123,user_7,HTTP,systemctl restart apache2
486,2024-05-15 20:01:32,user_1,Switch,192.168.1.118,user_7,SSH,scp file.txt user@192.168.1.100:/home/
487,2024-07-30 21:24:24,user_2,Server,192.168.2.31,user_2,HTTP,ls -la
488,2024-10-01 10:41:34,user_4,Switch,192.168.1.131,user_8,Telnet,"exit, rm -rf /tmp/*, sudo apt update"
489,2024-03-24 05:07:37,user_7,Router,192.168.4.223,user_1,RDP,"ls -la, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, exit"
490,2024-07-21 14:47:06,user_8,Database,192.168.1.237,user_9,HTTP,rm -rf /tmp/*
491,2024-03-17 22:38:06,user_4,Database,192.168.1.196,user_3,HTTP,"ls -la, cat /etc/passwd, exit"
492,2024-08-04 03:36:27,user_7,Database,192.168.4.89,user_7,SSH,"exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, rm -rf /tmp/*"
493,2024-09-04 03:48:12,user_1,Switch,192.168.1.74,user_9,SSH,"sudo apt update, systemctl restart apache2"
494,2024-11-08 13:41:50,user_6,Router,192.168.1.158,user_6,RDP,scp file.txt user@192.168.1.100:/home/
495,2024-09-14 00:17:51,user_1,Server,192.168.2.61,user_2,Telnet,"systemctl restart apache2, cat /etc/passwd, rm -rf /tmp/*, sudo apt update, ls -la"
496,2024-02-23 04:06:16,user_9,Server,192.168.4.4,user_3,Telnet,"ls -la, rm -rf /tmp/*"
497,2024-04-20 09:10:46,user_9,Database,192.168.1.79,user_9,HTTP,systemctl restart apache2
498,2024-10-14 13:00:39,user_1,Database,192.168.4.173,user_10,SSH,"rm -rf /tmp/*, cat /etc/passwd, ls -la, sudo apt update"
499,2024-09-23 16:01:44,user_10,Database,192.168.3.226,user_4,SSH,exit
500,2024-05-07 19:30:24,user_5,Router,192.168.1.2,user_3,Telnet,"ls -la, exit, systemctl restart apache2"
501,2024-01-15 13:51:37,user_4,Database,192.168.3.23,user_3,Telnet,"ls -la, systemctl restart apache2"
502,2024-04-05 13:56:14,user_5,Switch,192.168.2.218,user_7,SSH,"exit, systemctl restart apache2, cat /etc/passwd, ls -la, scp file.txt user@192.168.1.100:/home/"
503,2024-03-15 17:36:43,user_3,Server,192.168.1.122,user_4,RDP,"rm -rf /tmp/*, cat /etc/passwd"
504,2024-07-25 20:15:33,user_8,Switch,192.168.2.245,user_10,HTTP,"cat /etc/passwd, exit, ls -la, systemctl restart apache2"
505,2024-09-28 13:33:18,user_6,Server,192.168.4.214,user_10,Telnet,"scp file.txt user@192.168.1.100:/home/, exit, systemctl restart apache2, ls -la, rm -rf /tmp/*"
506,2024-03-21 04:08:33,user_9,Switch,192.168.1.67,user_7,HTTP,"rm -rf /tmp/*, exit, ls -la"
507,2024-07-24 19:04:01,user_10,Router,192.168.3.119,user_1,SSH,"systemctl restart apache2, cat /etc/passwd"
508,2024-02-28 01:48:40,user_8,Server,192.168.4.174,user_7,SSH,sudo apt update
509,2024-03-04 03:27:47,user_10,Server,192.168.2.62,user_8,RDP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
510,2024-03-09 17:07:26,user_8,Server,192.168.1.130,user_9,HTTP,"exit, scp file.txt user@192.168.1.100:/home/"
511,2024-06-28 12:21:40,user_3,Database,192.168.3.27,user_1,Telnet,"scp file.txt user@192.168.1.100:/home/, ls -la, systemctl restart apache2, cat /etc/passwd, sudo apt update"
512,2024-02-26 05:48:39,user_9,Database,192.168.4.193,user_6,SSH,"cat /etc/passwd, rm -rf /tmp/*"
513,2024-01-26 20:09:49,user_5,Switch,192.168.3.95,user_5,Telnet,"exit, rm -rf /tmp/*, ls -la, cat /etc/passwd, sudo apt update"
514,2024-11-18 08:23:12,user_8,Router,192.168.2.174,user_10,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, ls -la"
515,2024-01-05 18:25:59,user_5,Server,192.168.3.69,user_4,RDP,exit
516,2024-03-22 13:10:59,user_6,Switch,192.168.3.4,user_2,SSH,"exit, ls -la, rm -rf /tmp/*, sudo apt update"
517,2024-04-20 00:29:11,user_8,Router,192.168.1.143,user_3,SSH,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, sudo apt update, ls -la, systemctl restart apache2"
518,2024-01-31 00:55:14,user_1,Router,192.168.4.171,user_9,SSH,"scp file.txt user@192.168.1.100:/home/, ls -la, sudo apt update, systemctl restart apache2, cat /etc/passwd"
519,2024-03-03 16:37:31,user_9,Switch,192.168.2.217,user_2,HTTP,systemctl restart apache2
520,2024-05-14 22:37:18,user_8,Database,192.168.1.70,user_8,HTTP,"cat /etc/passwd, sudo apt update"
521,2024-06-07 23:08:27,user_10,Database,192.168.4.237,user_8,RDP,"systemctl restart apache2, exit, rm -rf /tmp/*"
522,2024-02-01 23:29:00,user_5,Database,192.168.1.79,user_1,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update"
523,2024-02-25 04:21:11,user_10,Server,192.168.1.191,user_7,Telnet,"sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
524,2024-06-07 10:10:09,user_10,Server,192.168.2.202,user_7,RDP,"cat /etc/passwd, exit"
525,2024-07-27 17:24:50,user_9,Switch,192.168.4.112,user_10,HTTP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, systemctl restart apache2"
526,2024-06-16 19:14:55,user_6,Router,192.168.2.105,user_6,SSH,"cat /etc/passwd, rm -rf /tmp/*, ls -la"
527,2024-09-06 15:00:55,user_2,Router,192.168.3.30,user_6,HTTP,"scp file.txt user@192.168.1.100:/home/, ls -la, cat /etc/passwd, rm -rf /tmp/*"
528,2024-10-13 07:16:23,user_5,Database,192.168.2.70,user_6,RDP,"cat /etc/passwd, exit, ls -la, rm -rf /tmp/*, systemctl restart apache2"
529,2024-08-31 00:20:10,user_1,Database,192.168.4.211,user_8,RDP,"cat /etc/passwd, ls -la, exit, sudo apt update"
530,2024-06-14 05:21:37,user_6,Server,192.168.1.254,user_4,RDP,"sudo apt update, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, exit"
531,2024-02-25 21:50:35,user_1,Server,192.168.1.113,user_2,SSH,"systemctl restart apache2, ls -la, sudo apt update, cat /etc/passwd"
532,2024-07-10 10:15:47,user_5,Switch,192.168.2.230,user_4,HTTP,"cat /etc/passwd, rm -rf /tmp/*"
533,2024-01-17 09:01:20,user_1,Database,192.168.4.81,user_1,SSH,exit
534,2024-02-02 01:13:07,user_10,Router,192.168.1.213,user_7,SSH,"cat /etc/passwd, ls -la, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
535,2024-08-10 03:15:50,user_10,Database,192.168.2.95,user_10,SSH,"exit, cat /etc/passwd, ls -la, sudo apt update"
536,2024-11-17 10:00:32,user_10,Router,192.168.3.151,user_1,RDP,"systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
537,2024-10-06 12:49:05,user_8,Router,192.168.1.226,user_8,RDP,"cat /etc/passwd, systemctl restart apache2, exit"
538,2024-09-05 03:00:33,user_6,Switch,192.168.3.146,user_10,RDP,exit
539,2024-02-16 12:06:10,user_8,Router,192.168.2.141,user_10,Telnet,sudo apt update
540,2024-07-30 13:34:18,user_5,Switch,192.168.3.164,user_8,RDP,"sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
541,2024-10-02 16:41:09,user_8,Switch,192.168.1.1,user_4,RDP,systemctl restart apache2
542,2024-02-05 02:27:30,user_9,Switch,192.168.2.167,user_9,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, exit, sudo apt update, ls -la"
543,2024-05-23 09:29:54,user_4,Database,192.168.3.224,user_1,RDP,"systemctl restart apache2, exit, ls -la, rm -rf /tmp/*"
544,2024-06-23 10:41:17,user_1,Switch,192.168.4.7,user_6,HTTP,"rm -rf /tmp/*, cat /etc/passwd, sudo apt update, systemctl restart apache2, exit"
545,2024-08-02 04:00:59,user_1,Router,192.168.2.19,user_6,RDP,"exit, cat /etc/passwd"
546,2024-10-13 02:19:51,user_3,Switch,192.168.1.170,user_10,HTTP,sudo apt update
547,2024-08-19 04:01:04,user_2,Database,192.168.4.136,user_4,Telnet,"cat /etc/passwd, exit"
548,2024-07-10 17:13:19,user_2,Database,192.168.4.214,user_4,RDP,"systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
549,2024-11-07 03:58:12,user_10,Database,192.168.1.119,user_3,SSH,ls -la
550,2024-01-07 02:08:45,user_1,Switch,192.168.2.69,user_3,RDP,"ls -la, systemctl restart apache2"
551,2024-06-23 10:36:26,user_1,Database,192.168.4.139,user_7,Telnet,"ls -la, cat /etc/passwd, sudo apt update"
552,2024-04-04 21:38:00,user_2,Database,192.168.1.210,user_5,RDP,"sudo apt update, exit"
553,2024-04-04 13:01:33,user_3,Switch,192.168.3.133,user_1,SSH,"exit, rm -rf /tmp/*"
554,2024-10-19 07:40:15,user_6,Switch,192.168.2.242,user_6,RDP,"rm -rf /tmp/*, ls -la, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
555,2024-04-03 22:08:11,user_1,Switch,192.168.2.166,user_10,SSH,"rm -rf /tmp/*, sudo apt update, ls -la, exit, systemctl restart apache2"
556,2024-06-22 15:00:15,user_5,Switch,192.168.4.48,user_9,HTTP,systemctl restart apache2
557,2024-03-10 01:57:14,user_2,Database,192.168.4.177,user_8,SSH,"systemctl restart apache2, sudo apt update"
558,2024-07-02 12:16:37,user_2,Switch,192.168.1.122,user_2,RDP,ls -la
559,2024-08-18 03:57:09,user_3,Database,192.168.2.211,user_9,HTTP,"rm -rf /tmp/*, sudo apt update, systemctl restart apache2, ls -la"
560,2024-05-29 17:24:20,user_7,Server,192.168.4.148,user_1,HTTP,"exit, rm -rf /tmp/*"
561,2024-11-03 17:14:21,user_2,Server,192.168.4.216,user_1,Telnet,"rm -rf /tmp/*, exit, scp file.txt user@192.168.1.100:/home/"
562,2024-01-31 16:44:29,user_5,Database,192.168.4.68,user_3,Telnet,"cat /etc/passwd, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
563,2024-01-13 00:42:40,user_4,Server,192.168.3.243,user_5,HTTP,"sudo apt update, systemctl restart apache2"
564,2024-05-20 08:46:57,user_10,Router,192.168.1.31,user_9,Telnet,"exit, systemctl restart apache2, rm -rf /tmp/*, cat /etc/passwd"
565,2024-10-09 03:46:25,user_2,Switch,192.168.4.171,user_3,RDP,"exit, cat /etc/passwd, ls -la"
566,2024-04-17 08:43:47,user_3,Switch,192.168.2.106,user_3,Telnet,"systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
567,2024-09-23 11:18:21,user_1,Switch,192.168.4.158,user_5,RDP,ls -la
568,2024-08-31 04:39:47,user_1,Database,192.168.2.141,user_6,SSH,rm -rf /tmp/*
569,2024-07-02 20:10:06,user_8,Router,192.168.2.247,user_4,Telnet,"ls -la, cat /etc/passwd, rm -rf /tmp/*, systemctl restart apache2, exit"
570,2024-08-16 01:19:49,user_6,Router,192.168.1.73,user_1,RDP,sudo apt update
571,2024-03-06 17:31:01,user_5,Database,192.168.4.61,user_3,Telnet,cat /etc/passwd
572,2024-06-28 17:06:24,user_10,Switch,192.168.3.149,user_8,Telnet,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, ls -la"
573,2024-05-07 07:32:00,user_8,Router,192.168.2.164,user_7,Telnet,"systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, sudo apt update, ls -la"
574,2024-02-01 19:35:50,user_2,Router,192.168.1.64,user_2,HTTP,"exit, cat /etc/passwd"
575,2024-04-15 22:25:31,user_4,Switch,192.168.4.182,user_9,RDP,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update, ls -la"
576,2024-03-31 01:11:55,user_7,Server,192.168.1.90,user_9,Telnet,"ls -la, systemctl restart apache2, exit, sudo apt update"
577,2024-05-19 12:55:35,user_9,Server,192.168.3.47,user_4,Telnet,"systemctl restart apache2, ls -la"
578,2024-03-28 05:57:33,user_2,Switch,192.168.4.100,user_2,RDP,sudo apt update
579,2024-03-19 11:03:40,user_9,Switch,192.168.4.24,user_7,Telnet,"scp file.txt user@192.168.1.100:/home/, exit, sudo apt update, ls -la, rm -rf /tmp/*"
580,2024-06-27 17:04:43,user_5,Switch,192.168.4.88,user_9,RDP,"sudo apt update, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la, rm -rf /tmp/*"
581,2024-11-16 14:39:28,user_3,Server,192.168.4.235,user_10,SSH,scp file.txt user@192.168.1.100:/home/
582,2024-04-26 00:47:53,user_2,Database,192.168.3.183,user_1,RDP,"exit, sudo apt update, systemctl restart apache2, cat /etc/passwd, ls -la"
583,2024-03-15 02:55:06,user_1,Switch,192.168.4.156,user_3,SSH,"sudo apt update, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
584,2024-02-26 11:55:58,user_1,Switch,192.168.3.153,user_9,HTTP,rm -rf /tmp/*
585,2024-02-18 07:14:10,user_10,Server,192.168.4.102,user_1,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
586,2024-07-29 14:11:46,user_1,Database,192.168.1.208,user_10,HTTP,"rm -rf /tmp/*, sudo apt update"
587,2024-02-28 01:42:29,user_4,Router,192.168.2.107,user_4,RDP,"exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/"
588,2024-11-01 17:11:46,user_1,Router,192.168.4.45,user_1,SSH,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, sudo apt update"
589,2024-11-03 19:43:13,user_9,Database,192.168.4.51,user_3,Telnet,rm -rf /tmp/*
590,2024-04-25 23:42:08,user_1,Router,192.168.3.104,user_5,RDP,"cat /etc/passwd, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
591,2024-07-04 13:43:36,user_8,Router,192.168.3.8,user_3,HTTP,"ls -la, rm -rf /tmp/*"
592,2024-10-29 21:11:13,user_6,Database,192.168.2.44,user_8,HTTP,"rm -rf /tmp/*, exit, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
593,2024-10-27 07:25:18,user_1,Switch,192.168.3.106,user_6,RDP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd, ls -la, systemctl restart apache2"
594,2024-11-18 03:54:56,user_2,Router,192.168.3.197,user_10,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, cat /etc/passwd, ls -la, rm -rf /tmp/*"
595,2024-11-15 11:57:35,user_1,Server,192.168.1.206,user_1,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, sudo apt update, systemctl restart apache2"
596,2024-05-10 08:53:16,user_1,Switch,192.168.3.190,user_6,HTTP,"sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit"
597,2024-03-18 07:31:06,user_5,Server,192.168.4.160,user_4,SSH,"exit, rm -rf /tmp/*, ls -la"
598,2024-04-26 02:09:33,user_7,Database,192.168.1.199,user_4,Telnet,sudo apt update
599,2024-11-20 19:21:33,user_1,Database,192.168.4.111,user_4,SSH,sudo apt update
600,2024-11-08 07:00:38,user_5,Router,192.168.4.24,user_6,HTTP,"rm -rf /tmp/*, cat /etc/passwd, exit, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
601,2024-10-19 19:20:35,user_8,Router,192.168.2.77,user_1,SSH,"systemctl restart apache2, ls -la, exit, rm -rf /tmp/*"
602,2024-02-01 09:06:31,user_3,Server,192.168.1.156,user_9,HTTP,cat /etc/passwd
603,2024-07-07 01:59:51,user_6,Server,192.168.1.2,user_10,Telnet,"sudo apt update, systemctl restart apache2, ls -la, exit"
